pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-2046 b,TOI-2046,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,1.49718420,0.00000310,-0.00000330,0,,,,,16.141,1.233,-1.233,0,1.440,0.110,-0.110,0,731.00534,88.99195,-88.99195,0,2.30000,0.28000,-0.28000,0,Mass,,,,,,,,,,,,,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F8 V,6250.00,140.00,-140.00,0,1.21,0.07,-0.07,0,1.13,0.19,-0.19,0,-0.060,0.150,-0.150,0,[Fe/H],4.30,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m44.39s,16.1849423,+74d19m52.70s,74.3313055,289.6680000,2.2250000,-2.1910000,11.5520000,0.0180000,-0.0180000,10.0940000,0.0230000,-0.0230000,11.4128000,0.0004570,-0.0004570,2022-05-23,2022-05,2022-05-23
TOI-2048 b,TOI-2048,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,13.79019000,0.00065000,-0.00084000,0,,,,,2.610,0.170,-0.160,0,0.233,0.015,-0.014,0,,,,,,,,,,0.130000,0.180000,-0.090000,0,,,,,,,,,0,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,G V,5185.00,60.00,-60.00,0,0.79,0.04,-0.04,0,0.83,0.03,-0.03,0,0.020,0.080,-0.080,0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h51m41.79s,237.9241066,+52d18m22.71s,52.3063083,116.5670000,0.2920000,-0.2900000,11.4310000,0.0170000,-0.0170000,9.4390000,0.0140000,-0.0140000,11.3252000,0.0008980,-0.0008980,2023-01-18,2022-09,2023-01-18
TOI-206 b,TOI-206,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.73631040,0.00000030,-0.00000030,0,0.011200,0.000100,-0.000100,0,1.300,0.050,-0.050,0,0.116,0.004,-0.004,0,,,,,,,,,,,,,,,,,,910,36,-36,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,,3383.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.35,0.01,-0.01,0,,,,,,4.89,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m57.17s,73.7382202,-62d31m18.75s,-62.5218740,47.7465000,0.1100000,-0.1095000,14.9380000,0.1260000,-0.1260000,10.0600000,0.0220000,-0.0220000,13.6662000,0.0006700,-0.0006700,2022-02-15,2022-02,2022-02-15
TOI-2068 b,TOI-2068,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,7.76891500,0.00002500,-0.00003700,0,0.063200,0.001100,-0.001100,0,1.821,0.162,-0.149,0,0.162,0.014,-0.013,0,,,,,,,,,,,,,,12.23,0.73,-0.73,0,521,14,-14,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3710.00,57.00,-58.00,0,0.54,0.02,-0.02,0,0.56,0.03,-0.03,0,0.270,0.150,-0.200,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m05.65s,186.2735600,+60d25m06.04s,60.4183455,52.9328000,0.0586000,-0.0586000,13.0070000,0.0090000,-0.0090000,9.0070000,0.0220000,-0.0220000,12.2210000,0.0003190,-0.0003190,2024-04-15,2023-11,2024-04-15
TOI-2076 b,TOI-2076,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,10.35509600,0.00001800,-0.00001800,0,0.088000,0.002000,-0.002000,0,2.771,0.143,-0.095,0,0.247,0.013,-0.009,0,16.10000,8.30000,-8.20000,0,0.05066,0.02611,-0.02580,0,Mass,0.000000,,,0,,,,,688,15,-12,0,1,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5192.00,61.00,-58.00,0,0.80,0.03,-0.02,0,0.86,0.02,-0.02,0,0.020,0.058,-0.059,0,[Fe/H],4.57,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000,0.0528000,-0.0526000,9.1390000,0.0020000,-0.0020000,7.1150000,0.0170000,-0.0170000,8.9102800,0.0004770,-0.0004770,2024-07-22,2024-06,2024-07-22
TOI-2076 c,TOI-2076,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,21.01532700,0.00002300,-0.00002300,0,0.142000,0.003000,-0.003000,0,3.694,0.142,-0.111,0,0.330,0.013,-0.010,0,55.00000,,,1,0.17305,,,1,Mass,0.000000,,,0,,,,,543,12,-10,0,1,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5192.00,61.00,-58.00,0,0.80,0.03,-0.02,0,0.86,0.02,-0.02,0,0.020,0.058,-0.059,0,[Fe/H],4.57,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000,0.0528000,-0.0526000,9.1390000,0.0020000,-0.0020000,7.1150000,0.0170000,-0.0170000,8.9102800,0.0004770,-0.0004770,2024-07-22,2024-06,2024-07-22
TOI-2076 d,TOI-2076,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,35.12568600,0.00008600,-0.00008600,0,0.199000,0.004000,-0.004000,0,3.431,0.211,-0.252,0,0.306,0.019,-0.022,0,29.00000,,,1,0.09124,,,1,Mass,0.000000,,,0,,,,,458,10,-8,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5192.00,61.00,-58.00,0,0.80,0.03,-0.02,0,0.86,0.02,-0.02,0,0.020,0.058,-0.059,0,[Fe/H],4.57,0.02,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000,0.0528000,-0.0526000,9.1390000,0.0020000,-0.0020000,7.1150000,0.0170000,-0.0170000,8.9102800,0.0004770,-0.0004770,2024-07-22,2024-06,2024-07-22
TOI-2081 b,TOI-2081,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,10.50534000,0.00007000,-0.00008000,0,0.075200,0.004700,-0.011900,0,2.040,0.500,-0.540,0,0.182,0.045,-0.048,0,,,,,,,,,,,,,,8.10,1.10,-2.60,0,488,28,-52,0,0,<a refstr=ESPARZA_BORGES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220610643E/abstract target=ref>Esparza-Borges et al. 2022</a>,M1.0,3800.00,100.00,-100.00,0,0.53,0.08,-0.08,0,0.54,0.08,-0.08,0,-0.500,,,-1,[Fe/H],4.50,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m12.54s,264.3022634,+53d01m32.04s,53.0255666,62.3446000,0.0833500,-0.0833500,13.3690000,0.0350000,-0.0350000,9.5230000,0.0210000,-0.0210000,12.6594000,0.0002750,-0.0002750,2022-06-27,2022-06,2022-06-27
TOI-2084 b,TOI-2084,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230615095B/abstract target=ref>Barkaoui et al. 2023</a>,6.07842470,0.00000960,-0.00000960,0,0.050060,0.001030,-0.001030,0,2.470,0.130,-0.130,0,0.220,0.012,-0.012,0,,,,,,,,,,,,,,12.80,0.80,-0.80,0,527,8,-8,0,0,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230615095B/abstract target=ref>Barkaoui et al. 2023</a>,M2+/-0.5,3551.00,49.00,-52.00,0,0.47,0.01,-0.01,0,0.45,0.03,-0.03,0,-0.130,0.200,-0.200,0,[Fe/H],4.75,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h17m01.09s,259.2545389,+72d44m49.28s,72.7470231,114.5490000,0.3420000,-0.3390000,15.1150000,0.0650000,-0.0650000,11.1480000,0.0200000,-0.0200000,14.4096000,0.0004700,-0.0004700,2023-07-25,2023-06,2023-07-25
TOI-2088 b,TOI-2088,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,124.72997000,0.00065000,-0.00065000,0,0.472000,0.009000,-0.009000,0,3.683,0.193,-0.141,0,0.329,0.017,-0.013,0,37.00000,,,1,0.11642,,,1,Mass,0.000000,,,0,,,,,300,7,-5,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5081.00,56.00,-54.00,0,0.85,0.03,-0.02,0,0.90,0.02,-0.03,0,0.339,0.058,-0.059,0,[Fe/H],4.53,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h25m29.97s,261.3748943,+75d52m56.21s,75.8822796,126.4600000,0.3600000,-0.3580000,11.6380000,0.0340000,-0.0340000,9.5210000,0.0150000,-0.0150000,11.4808000,0.0003560,-0.0003560,2024-07-22,2024-06,2024-07-22
TOI-2095 b,TOI-2095,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,17.66484000,0.00007000,-0.00007000,0,0.101000,0.005000,-0.005000,0,1.250,0.070,-0.070,0,0.112,0.006,-0.006,0,4.10000,,,1,0.01290,,,1,Mass,0.000000,,,0,3.43,0.31,-0.31,0,347,9,-9,0,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,M2.5 V,3759.00,87.00,-87.00,0,0.44,0.02,-0.02,0,0.44,0.02,-0.02,0,-0.240,0.040,-0.040,0,[Fe/H],5.11,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176000,0.0500000,-0.0500000,13.1900000,0.2000000,-0.2000000,8.9880000,0.0150000,-0.0150000,12.0940000,0.0004210,-0.0004210,2023-08-22,2023-04,2023-08-22
TOI-2095 c,TOI-2095,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,28.17232000,0.00014000,-0.00014000,0,0.137000,0.006000,-0.006000,0,1.330,0.080,-0.080,0,0.119,0.007,-0.007,0,7.40000,,,1,0.02328,,,1,Mass,0.000000,,,0,1.84,0.17,-0.17,0,297,8,-8,0,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,M2.5 V,3759.00,87.00,-87.00,0,0.44,0.02,-0.02,0,0.44,0.02,-0.02,0,-0.240,0.040,-0.040,0,[Fe/H],5.11,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176000,0.0500000,-0.0500000,13.1900000,0.2000000,-0.2000000,8.9880000,0.0150000,-0.0150000,12.0940000,0.0004210,-0.0004210,2023-08-22,2023-04,2023-08-22
TOI-2096 b,TOI-2096,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,3.11906330,0.00001000,-0.00000930,0,0.025000,0.001000,-0.001000,0,1.243,0.077,-0.072,0,0.111,0.007,-0.006,0,,,,,,,,,,0.150000,0.270000,-0.120000,0,9.40,0.20,-0.20,0,445,13,-13,0,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,M4,3300.00,50.00,-50.00,0,0.23,0.01,-0.01,0,0.23,0.01,-0.01,0,-0.030,0.200,-0.200,0,[Fe/H],5.05,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h06m28.49s,151.6186989,+74d49m37.96s,74.8272107,48.4809000,0.0982000,-0.0978000,15.9200000,0.2000000,-0.2000000,11.0210000,0.0170000,-0.0170000,14.7736000,0.0003970,-0.0003970,2023-03-28,2023-03,2023-03-28
TOI-2096 c,TOI-2096,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,6.38784000,0.00001200,-0.00001200,0,0.040000,0.002000,-0.002000,0,1.914,0.095,-0.095,0,0.171,0.008,-0.008,0,,,,,,,,,,0.100000,0.170000,-0.060000,0,3.70,0.10,-0.20,0,349,10,-9,0,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,M4,3300.00,50.00,-50.00,0,0.23,0.01,-0.01,0,0.23,0.01,-0.01,0,-0.030,0.200,-0.200,0,[Fe/H],5.05,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h06m28.49s,151.6186989,+74d49m37.96s,74.8272107,48.4809000,0.0982000,-0.0978000,15.9200000,0.2000000,-0.2000000,11.0210000,0.0170000,-0.0170000,14.7736000,0.0003970,-0.0003970,2023-03-28,2023-03,2023-03-28
TOI-2107 b,TOI-2107,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,2.45454670,0.00000130,-0.00000130,0,0.035150,0.000590,-0.000670,0,13.574,0.392,-0.359,0,1.211,0.035,-0.032,0,263.79758,34.96112,-34.96112,0,0.83000,0.11000,-0.11000,0,Mass,0.033000,0.038000,-0.023000,0,,,,,1397,20,-18,0,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,,5627.00,94.00,-93.00,0,0.93,0.03,-0.02,0,0.96,0.05,-0.05,0,0.070,0.120,-0.110,0,[Fe/H],4.48,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m11.17s,286.7965405,-58d41m48.61s,-58.6968348,236.7050000,1.9340000,-1.9040000,12.0363000,0.0459000,-0.0459000,10.3280000,0.0210000,-0.0210000,11.8642000,0.0007150,-0.0007150,2024-07-23,2024-07,2024-07-23
TOI-2109 b,TOI-2109,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,0.67247414,0.00000003,-0.00000028,0,0.017910,0.000650,-0.000650,0,15.098,0.527,-0.527,0,1.347,0.047,-0.047,0,1595.49860,238.37131,-238.37131,0,5.02000,0.75000,-0.75000,0,Mass,,,,,,,,,3646,88,-88,0,0,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,F,6540.00,160.00,-160.00,0,1.70,0.06,-0.06,0,1.45,0.07,-0.07,0,0.068,0.070,-0.062,0,[Fe/H],4.14,0.04,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m44.71s,253.1862971,+16d34m47.70s,16.5799153,262.0410000,2.7530000,-2.6980000,10.2170000,0.0040000,-0.0040000,9.0700000,0.0210000,-0.0210000,10.1138000,0.0003420,-0.0003420,2021-12-13,2021-12,2021-12-13
TOI-2120 b,TOI-2120,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,5.79981640,0.00000350,-0.00000350,0,0.037700,0.001300,-0.001300,0,2.122,0.065,-0.065,0,0.189,0.006,-0.006,0,6.80000,,,1,0.02140,,,1,Mass,0.320000,0.080000,-0.080000,0,3.61,0.24,-0.22,0,384,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3131.00,30.00,-30.00,0,0.24,0.01,-0.01,0,0.21,0.01,-0.01,0,0.390,0.220,-0.220,0,[Fe/H],4.99,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m01.76s,23.5073150,+65d30m50.36s,65.5139877,32.1755000,0.0529000,-0.0528000,15.6480000,0.1050000,-0.1050000,10.2050000,0.0230000,-0.0230000,14.1872000,0.0004770,-0.0004770,2024-06-10,2024-06,2024-06-10
TOI-2128 b,TOI-2128,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,16.34136000,0.00013000,-0.00013000,0,0.127000,0.003000,-0.003000,0,2.089,0.089,-0.076,0,0.186,0.008,-0.007,0,4.50000,2.00000,-2.00000,0,0.01416,0.00629,-0.00629,0,Mass,0.000000,,,0,,,,,781,15,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5968.00,86.00,-84.00,0,1.12,0.02,-0.02,0,1.03,0.04,-0.04,0,-0.070,0.050,-0.057,0,[Fe/H],4.35,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m55.63s,256.9817998,+32d06m19.09s,32.1053027,36.5780000,0.0344000,-0.0343000,7.2214200,0.0230000,-0.0230000,5.8210000,0.0340000,-0.0340000,7.0664200,0.0002100,-0.0002100,2024-07-23,2024-06,2024-07-23
TOI-2134 b,TOI-2134,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.22920050,0.00000630,-0.00000630,0,0.078000,0.000900,-0.000900,0,2.690,0.160,-0.160,0,0.240,0.014,-0.014,0,9.13000,0.78000,-0.76000,0,0.02873,0.00245,-0.00239,0,Mass,0.060000,0.030000,-0.040000,0,32.00,2.00,-2.00,0,666,8,-8,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.74,0.03,-0.03,0,0.120,0.020,-0.020,0,[Fe/H],4.80,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000,0.0160000,-0.0159000,8.9330000,0.0030000,-0.0030000,6.0910000,0.0170000,-0.0170000,8.5077000,0.0005110,-0.0005110,2023-11-28,2023-10,2023-11-28
TOI-2134 c,TOI-2134,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,95.50000000,0.36000000,-0.25000000,0,0.371000,0.004000,-0.004000,0,7.270,0.420,-0.420,0,0.649,0.037,-0.037,0,41.89000,7.69000,-7.83000,0,0.13180,0.02420,-0.02464,0,Mass,0.670000,0.050000,-0.060000,0,1.40,0.10,-0.10,0,306,4,-4,0,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.74,0.03,-0.03,0,0.120,0.020,-0.020,0,[Fe/H],4.80,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000,0.0160000,-0.0159000,8.9330000,0.0030000,-0.0030000,6.0910000,0.0170000,-0.0170000,8.5077000,0.0005110,-0.0005110,2023-11-28,2023-10,2023-11-28
TOI-2136 b,TOI-2136,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1417G/abstract target=ref>Gan et al. 2022</a>,7.85192800,0.00001800,-0.00001600,0,0.057000,0.006000,-0.006000,0,2.190,0.170,-0.170,0,0.195,0.015,-0.015,0,6.37000,2.45000,-2.29000,0,0.02004,0.00771,-0.00721,0,Mass,0.000000,,,0,4.00,2.10,-1.50,0,395,24,-22,0,0,<a refstr=GAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1417G/abstract target=ref>Gan et al. 2022</a>,M4.5 V,3342.00,100.00,-100.00,0,0.34,0.02,-0.02,0,0.34,0.02,-0.02,0,0.030,0.070,-0.070,0,[Fe/H],4.91,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m42.32s,281.1763433,+36d33m47.27s,36.5631318,33.3631000,0.0642500,-0.0642500,14.3200000,0.2000000,-0.2000000,9.3430000,0.0220000,-0.0220000,12.9643000,0.0009160,-0.0009160,2022-07-12,2022-08,2022-07-12
